CharacterID,CharacterName,CharacterOccupation,PlayedBy,AdditionalInformation
10102,Jan Levinson,Vice President of Northeastern Sales,Melora Hardin,'{}'
10103,Jeb Schrute,Marijuana Farmer,Thomas Middleditch,'{}'
10104,Jerry DiCanio,Warehouse Worker,Matt DeCaro,'{}'
10105,Jessica,Assistant Cross Country Coach,Eleanor Seigler,'{}'
10106,Jessica,Receptionist,Alyssa Preston,'{}'
10107,Jim Halpert,"President of New Acquisitions,Salesman",John Krasinski,'{}'
10108,Jo Bennett,CEO,Kathy Bates,'{}'
10109,Jordan Garfield,Executive assistant,Cody Horn,'{}'
10110,Julie,ESL Teacher,Laurie Noughton Okin,'{}'
10110,Justine Philbin,None,Erica Vittina Phillips,'{}'
10111,Karen Filippelli,"Salesman,Dunder Mifflin Regional Manager",Rashida Jones,'{}'
10112,Katy,Handbag saleswoman,Amy Adams,'{}'
10113,Kelly Kapoor,Customer Service Representative,Mindy Kaling,'{}'
10114,Kendall,Human Resources,John Hartmann,'{}'
10115,Kenny Anderson,None,Michael Patrick McGill,'{}'
10116,Kevin Malone,"Bar Owner,Accountant",Brian Baumgartner,'{}'
10117,Kevin's Sister,Actress,Heather Marie Marsden,'{}'
10118,Laura Anderson,None,Sara Chase,'{}'
10119,Leo,Deliveryman,Gene Stupnitsky,'{}'
10120,Lester Schneider,Attorney,Patrick O'Connor,'{}'
10121,Lily,Movie Character,Cloris Leachman,'{}'
10122,Linda,Urinalysis Technician,Marilyn Brett,'{}'
10123,Lloyd Gross,Salesman,None,'{}'
10124,Lonny Collins,Warehouse Worker,Patrice O'Neal,'{}'
10125,Luke Cooper,Intern,Evan Peters,'{}'
10126,Lynn,Scranton Business Park staff,Lisa K. Wyatt,'{}'
10127,Madge Madsen,Warehouse Worker,Karly Rothenberg,'{}'
10128,Margaret,Landlady,Brooke Dillman,'{}'
10129,Mark,None,Jeffrey Muller,'{}'
10130,Mark Franks,Simon Realty Regional Manager,Bob Odenkirk,'{}
10131,Martin Nash,Supplier Relations,Wayne Wilderson,'{}'
10132,Marybeth,Improv Student,Dee Ryan,'{}'
10133,Matt,Warehouse Worker,Sam Daly,'{}'
10134,Maurie,Intern,Keli'i Miyata,'{}'
10135,Megan,Intern,Elvy Yost,'{}'
10136,Melissa Hudson,Student,Jazz Raycole,'{}'
10137,Melvina Whitaker,Dwight's Babysitter,Beth Grant,'{}'
10138,Meredith Palmer,Supplier Relations,Kate Flannery,'{}'
10139,Merv Bronte,None,Ray Romano,'{}'
10140,Michael,Warehouse Worker,Lamont Ferrel,'{}'
10141,Michael Scott,Regional Manager of Dunder Mifflin,Steve Carell,'{}'
10142,Mike Tibbets,Brewer,None,'{}'
10143,Mikela Lasker,Student,Isheba Renee,'{}'
10144,Miserly Man,None,Warren Buffet,'{}'
10145,Mose Schrute,Beet Farmer,Michael Schur,'{}'
10146,Ms. Trudy,Host of Fundle Bundle,Sue Nelson,'{}'
10147,Nate Nickerson,Warehouse Worker,Mark Proksch,'{}'
10148,Nellie Bertram,President of Special Projects,Catherine Tate,'{}'
10149,Nick,IT Technician,Nelson Franklin,'{}'
10150,Nick Figaro,Manager at the Lipophedrine Diet Pill Company,Allan Wasserman,'{}'
10151,Mr. O'Malley,Corporate Attorney,R.F. Daley,'{}'
10152,Oscar Martinez,Accountant,Oscar Nunez,'{}'
10153,Pam Beesly,"Receptionist,Saleswoman",Jenna Fischer,'{}'
10154,Paris,Staples Saleswoman,Yvette Nicole Brown,'{}'
10155,Patty Grossman,Freelancer for Wired Magazine,Janell Winkler,'{}'
10156,Paul Faust,Owner of Disaster Kits Limited,Paul Faust,'{}'
10157,Penny Beesly,None,Anna Camp,'{}'
10158,Pete Halpert,None,Tug Coker,'{}'
10159,Pete Miller,Customer Service Representative,Jake Lacy,'{}'
10160,Philip,Warehouse Worker,None,'{}'
